"Kode Mapel","Nama Mapel",Kelas,"Jam Per Minggu",Deskripsi,Semester,"Tahun Ajaran",Status,"NIK/Kode Guru"
PRODUKSI_FILM,"Produksi Film",,2,,ganjil,2025/2026,aktif,26
SENI_BUDAYA,"Seni Budaya",,2,,ganjil,2025/2026,aktif,27
MATEMATIKA,Matematika,,2,,ganjil,2025/2026,aktif,27
DASAR_MANAJEMEN_PERKANTORAN_DA,"Dasar Manajemen Perkantoran dan Layanan Bisnis-1",,2,,ganjil,2025/2026,aktif,28
PENGELOLAAN_KEARSIPAN,"Pengelolaan Kearsipan",,2,,ganjil,2025/2026,aktif,28
BISNIS_DAN_KEUANGAN,"Bisnis dan Keuangan",,2,,ganjil,2025/2026,aktif,28
AKUNTANSI_PERUSAHAAN_JASA,"Akuntansi Perusahaan Jasa",,2,,ganjil,2025/2026,aktif,28
BISNIS_DIGITAL,"Bisnis Digital",,2,,ganjil,2025/2026,aktif,28
IPAS,IPAS,,2,,ganjil,2025/2026,aktif,29
DASAR_KIMIA_ANALISIS_1,"Dasar Kimia Analisis-1",,2,,ganjil,2025/2026,aktif,29
ANALISIS_KIMIA_INSTRUMEN,"Analisis Kimia Instrumen",,2,,ganjil,2025/2026,aktif,29
PROJEK_KREATIF_DAN_KEWIRAUSAHA,"Projek Kreatif dan Kewirausahaan",,2,,ganjil,2025/2026,aktif,29
PENGOLAHAN_LIMBAH,"Pengolahan Limbah",,2,,ganjil,2025/2026,aktif,29
PENDIDIKAN_PANCASILA,"Pendidikan Pancasila",,2,,ganjil,2025/2026,aktif,29
PENDIDIKAN_JASMANI_OLAHRAGA,"Pendidikan Jasmani, Olahraga, dan Kesehatan",,2,,ganjil,2025/2026,aktif,30
PENDIDIKAN_PANCASILA,"Pendidikan Pancasila",,2,,ganjil,2025/2026,aktif,30
IPAS,IPAS,,2,,ganjil,2025/2026,aktif,31
ANALISIS_KUANTITATIF_KONVENSIO,"Analisis Kuantitatif Konvensional",,2,,ganjil,2025/2026,aktif,31
ANALISIS_PROKSIMAT,"Analisis Proksimat",,2,,ganjil,2025/2026,aktif,31
ANALISIS_KIMIA_INSTRUMEN,"Analisis Kimia Instrumen",,2,,ganjil,2025/2026,aktif,31
